Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.2,1.1352924243950935,1.0,1.0540925533894598
Lazio,2.2,1.3165611772087666,1.0,1.0540925533894598
Napoli,2.0,1.4142135623730951,1.3,1.3374935098492586
Atalanta,3.0,1.5634719199411433,1.6,0.9660917830792959
Torino,1.1,1.1005049346146119,1.6,1.1737877907772674
Brescia,0.9,0.8755950357709131,1.6,1.349897115421106
Juventus,1.8,1.0327955589886446,0.9,0.8755950357709131
Udinese,0.5,0.5270462766947299,1.7,2.3118054512532935
Genoa,1.3,1.0593499054713802,2.3,1.4944341180973262
Roma,1.8,1.4757295747452437,1.1,0.9944289260117533
Bologna,1.4,1.1737877907772671,1.5,1.0801234497346435
Verona,0.7,0.674948557710553,0.8,0.7888106377466155
Fiorentina,1.5,1.0801234497346435,1.3,1.2516655570345725
Spal,0.7,0.8232726023485646,1.7,1.0593499054713804
Sassuolo,1.8,1.2292725943057183,1.8,1.6865480854231356
Cagliari,1.6,1.0749676997731399,1.0,0.6666666666666666
Milan,1.0,0.6666666666666666,1.3,1.0593499054713802
Parma,1.5,1.7159383568311668,1.4,0.8432740427115679
Sampdoria,0.6,0.5163977794943223,1.9,1.286683937707919
Lecce,1.1,0.9944289260117533,1.9,1.286683937707919
