squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,32.0,39.0,7.0,2.0,1,41.0,1.0,13.0
Juventus,14.0,24.0,10.0,4.0,2,37.0,1.0,11.0
Milan,11.0,29.0,18.0,2.0,3,32.0,4.0,10.0
Bologna,8.0,20.0,12.0,7.0,4,28.0,2.0,7.0
Napoli,9.0,28.0,19.0,3.0,5,27.0,5.0,8.0
Fiorentina,7.0,25.0,18.0,3.0,6,27.0,5.0,8.0
Atalanta,9.0,28.0,19.0,2.0,7,26.0,6.0,8.0
Roma,9.0,28.0,19.0,4.0,8,25.0,5.0,7.0
Torino,-2.0,14.0,16.0,5.0,9,23.0,5.0,6.0
Monza,-1.0,16.0,17.0,6.0,10,21.0,5.0,5.0
Lazio,-2.0,16.0,18.0,3.0,11,21.0,7.0,6.0
Lecce,-2.0,19.0,21.0,8.0,12,20.0,4.0,4.0
Frosinone,-5.0,21.0,26.0,4.0,13,19.0,7.0,5.0
Genoa,-5.0,16.0,21.0,4.0,14,16.0,8.0,4.0
Sassuolo,-6.0,24.0,30.0,4.0,15,16.0,8.0,4.0
Cagliari,-13.0,16.0,29.0,4.0,16,13.0,9.0,3.0
Udinese,-13.0,14.0,27.0,10.0,17,13.0,5.0,1.0
Empoli,-18.0,10.0,28.0,3.0,18,12.0,10.0,3.0
Verona,-10.0,13.0,23.0,5.0,19,11.0,9.0,2.0
Salernitana,-22.0,12.0,34.0,5.0,20,8.0,10.0,1.0
