,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,34.0,52.0,18.0,5.0,1,50.0,2.0,15.0
Milan,22.0,47.0,25.0,3.0,2,48.0,4.0,15.0
Napoli,24.0,37.0,13.0,4.0,3,46.0,4.0,14.0
Atalanta,18.0,48.0,30.0,7.0,4,43.0,3.0,12.0
Juventus,13.0,34.0,21.0,5.0,5,41.0,5.0,12.0
Roma,8.0,36.0,28.0,2.0,6,35.0,9.0,11.0
Lazio,7.0,45.0,38.0,5.0,7,35.0,7.0,10.0
Fiorentina,7.0,40.0,33.0,2.0,8,35.0,9.0,11.0
Torino,9.0,32.0,23.0,5.0,9,32.0,8.0,9.0
Verona,4.0,41.0,37.0,6.0,10,30.0,8.0,8.0
Bologna,-6.0,30.0,36.0,3.0,11,30.0,10.0,9.0
Empoli,-8.0,35.0,43.0,5.0,12,29.0,9.0,8.0
Sassuolo,1.0,36.0,35.0,7.0,13,28.0,8.0,7.0
Udinese,-5.0,32.0,37.0,8.0,14,23.0,9.0,5.0
Spezia,-19.0,23.0,42.0,4.0,15,22.0,12.0,6.0
Sampdoria,-11.0,29.0,40.0,5.0,16,20.0,12.0,5.0
Venezia,-20.0,20.0,40.0,6.0,17,18.0,12.0,4.0
Salernitana,-31.0,16.0,47.0,2.0,18,17.0,15.0,5.0
Cagliari,-22.0,21.0,43.0,7.0,19,16.0,12.0,3.0
Genoa,-25.0,20.0,45.0,9.0,20,12.0,12.0,1.0
