Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.4375,1.2632629707758134,0.9375,0.9287087810503355
Lazio,2.0,1.7126976771553504,1.875,1.3102162671355697
Roma,1.5,1.1547005383792515,1.1875,1.2230426539304888
Napoli,2.125,1.1474609652039003,0.75,1.0645812948447542
Bologna,1.4375,0.963932916061417,1.6875,1.8518009252256753
Sassuolo,1.625,0.9574271077563381,1.5625,0.8139410298049853
Atalanta,2.1875,1.3275918047351754,1.1875,0.9105858919765157
Milan,2.1875,1.0468205831628137,1.125,1.2041594578792296
Cagliari,1.0625,0.9287087810503355,1.875,0.9574271077563381
Juventus,1.375,0.8850612031567836,1.0,0.8944271909999159
Spezia,1.0625,0.8539125638299665,2.25,1.61245154965971
Udinese,1.3125,1.3022416570411703,1.6875,1.3022416570411703
Salernitana,0.6875,0.873212459828649,2.0625,1.2365947867699696
Verona,2.0,1.3165611772087666,1.75,1.1254628677422756
Torino,1.25,1.2382783747337807,1.0625,0.6800735254367721
Sampdoria,1.375,1.0878112581387147,2.0,1.3165611772087666
Empoli,1.625,1.2583057392117916,1.8125,1.0468205831628137
Fiorentina,1.6875,1.25,1.375,1.02469507659596
Venezia,0.9375,0.9979144919948469,1.8125,1.2763881332363862
Genoa,1.0625,1.1236102527122116,1.9375,1.0626225419530053
