,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.6666666666666665,1.1547005383792515,0.6666666666666666,0.5773502691896258
Frosinone,1.0,1.0,1.3333333333333333,1.5275252316519468
Lecce,2.0,0.0,1.0,1.0
Monza,0.6666666666666666,1.1547005383792517,1.6666666666666667,1.5275252316519468
Fiorentina,2.0,2.0,2.3333333333333335,1.5275252316519465
Lazio,1.0,1.0,1.3333333333333333,0.5773502691896257
Salernitana,1.0,1.0,1.6666666666666667,0.5773502691896257
Genoa,0.6666666666666666,0.5773502691896258,1.6666666666666667,2.0816659994661326
Verona,1.3333333333333333,0.5773502691896257,1.3333333333333333,1.5275252316519468
Juventus,2.0,1.0,0.3333333333333333,0.5773502691896258
Udinese,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.5275252316519468
Atalanta,2.0,1.0,0.6666666666666666,1.1547005383792517
Inter,2.6666666666666665,1.1547005383792515,0.0,0.0
Torino,0.6666666666666666,0.5773502691896258,1.3333333333333333,2.3094010767585034
Cagliari,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.1547005383792517
Bologna,1.0,1.0,1.3333333333333333,0.5773502691896257
Roma,1.3333333333333333,0.5773502691896257,2.0,0.0
Empoli,0.0,0.0,1.6666666666666667,0.5773502691896257
Napoli,2.0,1.0,1.0,1.0
Sassuolo,1.0,1.7320508075688772,1.6666666666666667,0.5773502691896257
