Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,16.0,19.0,3.0,0.0,1.0,1,18.0,6.0
Milan,7.0,15.0,8.0,0.0,1.0,2,18.0,6.0
Napoli,10.0,16.0,6.0,2.0,1.0,3,14.0,4.0
Juventus,6.0,12.0,6.0,2.0,1.0,4,14.0,4.0
Fiorentina,5.0,15.0,10.0,2.0,1.0,5,14.0,4.0
Atalanta,6.0,11.0,5.0,1.0,2.0,6,13.0,4.0
Lecce,-1.0,8.0,9.0,2.0,2.0,7,11.0,3.0
Bologna,2.0,6.0,4.0,4.0,1.0,8,10.0,2.0
Frosinone,-1.0,9.0,10.0,3.0,2.0,9,9.0,2.0
Torino,-1.0,6.0,7.0,3.0,2.0,10,9.0,2.0
Sassuolo,-2.0,11.0,13.0,0.0,4.0,11,9.0,3.0
Monza,-2.0,5.0,7.0,3.0,2.0,12,9.0,2.0
Roma,4.0,15.0,11.0,2.0,3.0,13,8.0,2.0
Genoa,-1.0,10.0,11.0,2.0,3.0,14,8.0,2.0
Verona,-2.0,4.0,6.0,2.0,3.0,15,8.0,2.0
Lazio,-3.0,7.0,10.0,1.0,4.0,16,7.0,2.0
Udinese,-8.0,4.0,12.0,4.0,3.0,17,4.0,0.0
Salernitana,-10.0,4.0,14.0,3.0,4.0,18,3.0,0.0
Empoli,-15.0,1.0,16.0,0.0,6.0,19,3.0,1.0
Cagliari,-10.0,2.0,12.0,2.0,5.0,20,2.0,0.0
