Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,22.0,45.0,23.0,4.0,2.0,1,49.0,15.0
Inter,28.0,51.0,23.0,5.0,2.0,2,47.0,14.0
Juventus,24.0,43.0,19.0,6.0,2.0,3,45.0,13.0
Roma,9.0,44.0,35.0,4.0,5.0,4,40.0,12.0
Lazio,9.0,36.0,27.0,4.0,5.0,5,40.0,12.0
Napoli,22.0,45.0,23.0,1.0,8.0,6,37.0,12.0
Atalanta,19.0,48.0,29.0,7.0,4.0,7,37.0,10.0
Sassuolo,2.0,34.0,32.0,7.0,6.0,8,31.0,8.0
Verona,3.0,26.0,23.0,6.0,7.0,9,30.0,8.0
Sampdoria,-1.0,31.0,32.0,3.0,10.0,10,27.0,8.0
Udinese,-5.0,23.0,28.0,6.0,9.0,11,24.0,6.0
Genoa,-7.0,24.0,31.0,6.0,9.0,12,24.0,6.0
Bologna,-7.0,28.0,35.0,5.0,10.0,13,23.0,6.0
Benevento,-17.0,24.0,41.0,5.0,10.0,14,23.0,6.0
Fiorentina,-12.0,21.0,33.0,7.0,9.0,15,22.0,5.0
Spezia,-10.0,28.0,38.0,6.0,10.0,16,21.0,5.0
Torino,-9.0,32.0,41.0,10.0,9.0,17,16.0,2.0
Cagliari,-15.0,24.0,39.0,6.0,12.0,18,15.0,3.0
Parma,-27.0,14.0,41.0,7.0,12.0,19,13.0,2.0
Crotone,-28.0,22.0,50.0,3.0,15.0,20,12.0,3.0
