,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.9473684210526316,1.314109881066404,1.0789473684210527,1.0496222987951536
Sampdoria,1.368421052631579,0.9704012163151325,1.4210526315789473,1.0813299855712828
Genoa,1.236842105263158,0.9982203224906242,1.5263157894736843,1.3504121914330383
Parma,1.0263157894736843,0.9996443179684749,2.1842105263157894,1.2488970952327487
Fiorentina,1.236842105263158,1.1492467692178256,1.5526315789473684,1.329445493450897
Lazio,1.605263157894737,1.1977337538420048,1.4473684210526316,1.3496219374739553
Crotone,1.1842105263157894,1.2703534974702322,2.4210526315789473,1.4636418655766046
Spezia,1.368421052631579,0.9978640061050117,1.894736842105263,1.2474725514872391
Verona,1.2105263157894737,0.9345585671882628,1.263157894736842,0.8600506121598478
Juventus,2.026315789473684,1.2624909334491283,1.0,0.7352146220938077
Udinese,1.105263157894737,1.0342636415477422,1.5263157894736843,1.2889728176376798
Atalanta,2.3684210526315788,1.6508974239514926,1.236842105263158,1.0763856067392612
Inter,2.3421052631578947,1.4003149412064935,0.9210526315789473,0.881693056456553
Torino,1.3157894736842106,1.0162268090607383,1.8157894736842106,1.5743769794428895
Cagliari,1.131578947368421,1.1664465009355585,1.5526315789473684,1.178578356189575
Bologna,1.3421052631578947,1.2142468645541808,1.7105263157894737,1.2714727518701383
Roma,1.7894736842105263,1.4915599441042688,1.5263157894736843,1.246331744159921
Benevento,1.0526315789473684,0.868280949084676,1.9736842105263157,1.5507076345501312
Napoli,2.263157894736842,1.622214211307625,1.0789473684210527,1.0999159414410407
Sassuolo,1.6842105263157894,1.1175567742490697,1.4736842105263157,1.1794832149456593
