,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,35.0,75.0,40.0,5.0,1,83.0,6.0,26.0
Inter,43.0,79.0,36.0,10.0,2,79.0,4.0,23.0
Atalanta,52.0,98.0,46.0,9.0,3,78.0,5.0,23.0
Lazio,39.0,78.0,39.0,6.0,4,78.0,7.0,24.0
Roma,24.0,74.0,50.0,7.0,5,67.0,10.0,20.0
Milan,14.0,60.0,46.0,9.0,6,63.0,10.0,18.0
Napoli,8.0,56.0,48.0,9.0,7,57.0,12.0,16.0
Sassuolo,8.0,68.0,60.0,10.0,8,52.0,13.0,14.0
Verona,-1.0,47.0,48.0,13.0,9,49.0,12.0,12.0
Fiorentina,1.0,48.0,47.0,13.0,10,46.0,13.0,11.0
Parma,-2.0,52.0,54.0,7.0,11,46.0,17.0,13.0
Bologna,-13.0,51.0,64.0,10.0,12,46.0,15.0,12.0
Cagliari,-1.0,52.0,53.0,12.0,13,45.0,14.0,11.0
Udinese,-15.0,36.0,51.0,9.0,14,42.0,17.0,11.0
Sampdoria,-17.0,47.0,64.0,5.0,15,41.0,20.0,12.0
Torino,-22.0,45.0,67.0,6.0,16,39.0,20.0,11.0
Genoa,-29.0,44.0,73.0,9.0,17,36.0,19.0,9.0
Lecce,-32.0,49.0,81.0,8.0,18,35.0,20.0,9.0
Brescia,-44.0,34.0,78.0,6.0,19,24.0,25.0,6.0
Spal,-48.0,26.0,74.0,5.0,20,20.0,27.0,5.0
