Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,45.0,70.0,25.0,5.0,4.0,1,83.0,26.0
Juventus,26.0,54.0,28.0,6.0,8.0,2,69.0,21.0
Inter,29.0,66.0,37.0,3.0,11.0,3,66.0,21.0
Lazio,26.0,54.0,28.0,8.0,8.0,4,65.0,19.0
Milan,14.0,55.0,41.0,10.0,8.0,5,61.0,17.0
Roma,12.0,45.0,33.0,8.0,10.0,6,59.0,17.0
Atalanta,14.0,56.0,42.0,7.0,11.0,7,58.0,17.0
Fiorentina,7.0,47.0,40.0,10.0,12.0,8,49.0,13.0
Monza,-1.0,44.0,45.0,10.0,12.0,9,49.0,13.0
Torino,-2.0,37.0,39.0,10.0,12.0,10,49.0,13.0
Bologna,-1.0,43.0,44.0,11.0,12.0,11,47.0,12.0
Udinese,2.0,45.0,43.0,13.0,11.0,12,46.0,11.0
Sassuolo,-11.0,43.0,54.0,8.0,15.0,13,44.0,12.0
Empoli,-13.0,32.0,45.0,12.0,14.0,14,39.0,9.0
Salernitana,-13.0,43.0,56.0,14.0,13.0,15,38.0,8.0
Lecce,-13.0,30.0,43.0,11.0,17.0,16,32.0,7.0
Verona,-24.0,28.0,52.0,9.0,19.0,17,30.0,7.0
Spezia,-26.0,30.0,56.0,12.0,17.0,18,30.0,6.0
Cremonese,-30.0,31.0,61.0,12.0,19.0,19,24.0,4.0
Sampdoria,-41.0,21.0,62.0,9.0,23.0,20,18.0,3.0
