Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,47.0,75.0,28.0,6.0,4.0,1,87.0,27.0
Lazio,28.0,58.0,30.0,8.0,8.0,2,71.0,21.0
Inter,28.0,70.0,42.0,3.0,12.0,3,69.0,22.0
Juventus,22.0,55.0,33.0,6.0,10.0,4,69.0,21.0
Milan,19.0,61.0,42.0,10.0,8.0,5,67.0,19.0
Atalanta,15.0,61.0,46.0,7.0,12.0,6,61.0,18.0
Roma,11.0,48.0,37.0,9.0,11.0,7,60.0,17.0
Fiorentina,8.0,50.0,42.0,11.0,12.0,8,53.0,14.0
Torino,2.0,42.0,40.0,11.0,12.0,9,53.0,14.0
Monza,-1.0,46.0,47.0,10.0,13.0,10,52.0,14.0
Bologna,3.0,50.0,47.0,12.0,12.0,11,51.0,13.0
Udinese,0.0,47.0,47.0,13.0,13.0,12,46.0,11.0
Sassuolo,-12.0,46.0,58.0,9.0,16.0,13,45.0,12.0
Empoli,-10.0,37.0,47.0,13.0,14.0,14,43.0,10.0
Salernitana,-12.0,48.0,60.0,15.0,13.0,15,42.0,9.0
Lecce,-12.0,31.0,43.0,12.0,17.0,16,36.0,8.0
Verona,-26.0,30.0,56.0,10.0,20.0,17,31.0,7.0
Spezia,-30.0,30.0,60.0,13.0,18.0,18,31.0,6.0
Cremonese,-35.0,34.0,69.0,12.0,21.0,19,24.0,4.0
Sampdoria,-45.0,24.0,69.0,10.0,24.0,20,19.0,3.0
