,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
135,Juventus-Bologna,0.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,12.0,2.0526315789473686,1.0,1.263157894736842,1.736842105263158,1.2681431837544703,0.7453559924999299,1.1945294407402949,1.284181765568077,0.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2 , 0
136,Genoa-Cagliari,2.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.5789473684210529,1.2105263157894737,1.947368421052632,1.0,1.4265650070355171,1.134261745631201,1.2681431837544703,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,1 , 0
137,Verona-Napoli,0.0,2.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,2.0,2.0,4.0,1.3157894736842106,0.9473684210526316,2.210526315789474,1.105263157894737,1.002919714242558,0.7050361858740394,1.9025990226360552,0.9941348467724344,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,0.0,3 , 1
138,Lazio-Sassuolo,0.0,1.0,2.0,2.0,2.0,7.0,2.0,0.0,2.0,0.0,1.0,8.0,1.6842105263157894,1.368421052631579,1.6842105263157894,1.5263157894736843,0.88522637273985,1.2565617248750864,1.335524515310053,1.3891812557774843,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,2 , 1
139,Parma-Sampdoria,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,2.0,0.0,2.0,10.0,0.7368421052631579,1.894736842105263,1.5789473684210529,1.5263157894736843,0.8719139396343282,1.2864566686188532,0.9612370197756296,0.904827856717728,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0 , 2
140,Torino-Fiorentina,2.0,1.0,0.0,1.0,1.0,17.0,1.0,0.0,2.0,0.0,2.0,12.0,1.45,1.9,1.05,1.55,0.998683343734455,1.3337718577107005,1.050062654772261,1.5035046776746237,3.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,6.0,1.0,1 , 1
141,Bologna-Milan,1.0,1.0,0.0,2.0,0.0,13.0,2.0,0.0,2.0,2.0,0.0,1.0,1.25,1.75,2.05,1.15,1.164157703189193,1.2513150976809202,0.6863327411532597,1.0894228312566052,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,1 , 2
142,Sampdoria-Juventus,0.0,2.0,0.0,2.0,2.0,10.0,2.0,2.0,2.0,0.0,2.0,3.0,1.5,1.55,2.05,0.95,1.0,0.8870412083230169,1.234376040972246,0.7591546545162482,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0 , 2
143,Inter-Benevento,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,11.0,2.45,1.15,1.15,2.0,1.538112308540638,0.9333020044867296,0.8750939799154207,1.7167901505579042,6.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,4 , 0
144,Spezia-Udinese,0.0,2.0,2.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,14.0,1.3,1.85,1.05,1.4,0.9787209698591858,1.3869694338832113,1.050062654772261,1.0954451150103324,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0 , 1
145,Crotone-Genoa,0.0,0.0,0.0,2.0,0.0,20.0,1.0,0.0,2.0,1.0,2.0,16.0,1.1,2.3,1.1,1.5,1.2096106376585989,1.5593520921743176,1.0711528467275957,1.4327007988227578,2.0,1.0,1.0,4.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0 , 3
146,Atalanta-Lazio,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,7.0,2.25,1.3,1.75,1.35,1.6819474927657678,1.1285761872936697,0.910465468000326,1.2258187382102494,5.0,3.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1 , 3
147,Cagliari-Sassuolo,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,1.0,0.0,9.0,1.2,1.9,1.65,1.5,1.105012502906165,1.2523661815266247,1.3088765773505315,1.3572417850765923,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1 , 1
148,Napoli-Parma,2.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,19.0,2.2,1.05,0.7,1.9,1.8524521444205844,0.998683343734455,0.8645047258706176,1.252366181526625,4.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,2 , 0
149,Roma-Verona,2.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,8.0,2.2,1.65,1.3,1.05,1.5761378513048248,1.348488432516786,0.9787209698591858,0.8255779474818965,1.0,3.0,2.0,0.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3 , 1
150,Fiorentina-Inter,0.0,2.0,0.0,2.0,1.0,11.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.5714285714285714,2.4285714285714284,1.0952380952380951,1.0488088481701516,1.468721504282843,1.5023790657297038,0.9436504599035548,1.0,1.0,0.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0 , 2
151,Sassuolo-Spezia,2.0,0.0,1.0,0.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,16.0,1.619047619047619,1.5238095238095235,1.3333333333333333,1.809523809523809,1.2835961388299078,1.3273676061682242,0.966091783079296,1.3645163106041502,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,1.0,1 , 2
152,Atalanta-Torino,2.0,2.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,17.0,2.2857142857142856,1.380952380952381,1.5238095238095235,1.9523809523809523,1.647508942095828,1.1608699529314417,1.030487633067356,1.3219754338182867,3.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3 , 3
153,Juventus-Roma,2.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0476190476190474,0.9047619047619048,2.095238095238096,1.6666666666666667,1.2031704150364766,0.7684244858645451,1.609495632325913,1.3165611772087666,3.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2 , 0
154,Genoa-Napoli,0.0,2.0,1.0,2.0,2.0,14.0,0.0,2.0,2.0,0.0,2.0,5.0,1.1428571428571428,1.4761904761904765,2.142857142857143,1.0952380952380951,1.0623424252901832,1.4006801069140526,1.82443729093971,0.9952267030562386,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2 , 1
155,Benevento-Sampdoria,2.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,2.0,2.0,0.0,10.0,1.1428571428571428,1.9523809523809523,1.4761904761904765,1.5238095238095235,0.8535639569308375,1.6874889770363086,0.9807674351775564,0.8728715609439694,2.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1 , 1
156,Milan-Crotone,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,2.142857142857143,1.0952380952380951,1.0476190476190477,2.380952380952381,0.7928249671720919,1.091089451179962,1.2031704150364766,1.5644868320376006,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,4 , 0
157,Udinese-Verona,1.0,0.0,0.0,1.0,2.0,13.0,1.0,2.0,0.0,2.0,0.0,9.0,1.0952380952380951,1.3333333333333333,1.238095238095238,1.0952380952380951,1.0442586798663398,1.1105554165971787,0.9952267030562386,0.8309489698388166,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2 , 0
158,Parma-Bologna,0.0,0.0,1.0,0.0,0.0,19.0,1.0,0.0,2.0,0.0,0.0,15.0,0.6666666666666666,1.9523809523809523,1.3333333333333333,1.6666666666666667,0.8563488385776753,1.244033378820298,1.1972189997378648,1.2780193008453875,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0 , 3
159,Lazio-Cagliari,2.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,18.0,1.7142857142857142,1.2857142857142858,1.1428571428571428,1.8571428571428568,0.9023778112773576,1.230563169563316,1.1084094137869045,1.236354087052503,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1 , 0
160,Bologna-Benevento,0.0,2.0,0.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,14.0,1.318181818181818,1.6363636363636365,1.1363636363636365,1.9090909090909087,1.170525467527243,1.2552918289216954,0.8335497554466649,1.6592910393438378,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,1 , 1
161,Torino-Genoa,0.0,1.0,1.0,1.0,1.0,17.0,2.0,1.0,2.0,2.0,2.0,12.0,1.4545454545454546,1.8636363636363635,1.0909090909090908,1.4090909090909092,1.0568269096134508,1.3556040489989465,1.0649878563622843,1.4026875872882272,0.0,0.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0 , 0
162,Napoli-Juventus,2.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,2.0,2.0,3.0,2.090909090909091,1.0454545454545454,1.9545454545454544,0.9090909090909092,1.7970635017820684,0.9989171626493848,1.2527027058580456,0.7501803534954529,2.0,6.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1 , 0
163,Spezia-Milan,2.0,1.0,0.0,0.0,2.0,16.0,2.0,2.0,0.0,2.0,2.0,1.0,1.3636363636363635,1.7272727272727273,2.0454545454545454,1.1363636363636365,0.9534625892455924,1.386390248839742,0.8985317508910342,1.0821255338433111,2.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,2 , 0
164,Roma-Udinese,1.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,11.0,2.136363636363636,1.5909090909090908,1.0454545454545454,1.4090909090909092,1.582507189345124,1.3330627431056188,1.0455015987905485,1.1405550406998344,2.0,0.0,4.0,3.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3 , 0
165,Cagliari-Atalanta,0.0,0.0,0.0,1.0,0.0,18.0,2.0,1.0,2.0,0.0,1.0,7.0,1.0909090909090908,1.818181818181818,2.227272727272727,1.318181818181818,1.1087999050492516,1.220318601504332,1.6310037278231957,1.1705254675272427,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,0 , 1
166,Sampdoria-Fiorentina,0.0,2.0,2.0,0.0,1.0,10.0,2.0,0.0,2.0,1.0,0.0,15.0,1.5,1.5,1.0,1.5909090909090908,0.9636241116594316,0.8591246929842246,1.023532631438318,1.4362348564112215,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,2 , 1
167,Crotone-Sassuolo,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0454545454545454,2.363636363636364,1.6363636363636365,1.5,1.1742179860604582,1.5289415743128767,1.2552918289216954,1.300183137283433,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1 , 2
168,Inter-Lazio,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.4545454545454546,1.0909090909090908,1.681818181818182,1.3636363636363635,1.4712247158412493,0.9211323729436768,0.8937009000226522,1.2552918289216957,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3 , 1
169,Verona-Parma,2.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,19.0,1.2727272727272727,1.0909090909090908,0.6818181818181818,1.9545454545454544,0.984731927834662,0.8111773283374345,0.8387271329003274,1.2140947137789433,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2 , 1
170,Fiorentina-Spezia,0.0,2.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,2.0,2.0,13.0,1.0869565217391304,1.5217391304347827,1.3043478260869563,1.7826086956521738,1.0834726777719228,1.4418915990459231,0.973969507115348,1.3802674885401558,0.0,2.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,3 , 0
171,Cagliari-Torino,0.0,0.0,1.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0434782608695652,1.7826086956521738,1.434782608695652,1.7826086956521738,1.1069310921135729,1.204405614971756,1.036869719024164,1.3802674885401558,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0 , 1
172,Lazio-Sampdoria,2.0,2.0,2.0,2.0,0.0,7.0,2.0,2.0,0.0,1.0,2.0,10.0,1.6521739130434785,1.3043478260869563,1.434782608695652,1.4782608695652173,0.8846517369293829,1.258959982348188,0.9920633665850976,0.8458220969937152,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1 , 0
173,Genoa-Verona,1.0,2.0,2.0,2.0,1.0,11.0,0.0,2.0,0.0,0.0,2.0,9.0,1.1304347826086956,1.434782608695652,1.3043478260869563,1.1304347826086956,1.0576280419404611,1.3759653456432204,0.973969507115348,0.8148813536665074,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,2 , 2
174,Sassuolo-Bologna,1.0,0.0,1.0,0.0,2.0,8.0,2.0,0.0,0.0,2.0,1.0,12.0,1.608695652173913,1.4782608695652173,1.3043478260869563,1.608695652173913,1.2335879094879223,1.2745610730183763,1.145536103502145,1.2335879094879223,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1 , 1
175,Parma-Udinese,1.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,2.0,2.0,0.0,14.0,0.7391304347826086,1.9565217391304348,1.0869565217391304,1.434782608695652,0.8643121965600911,1.1862186242450965,1.0406747583030782,1.1211230958496174,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2 , 2
176,Milan-Inter,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.9565217391304348,1.2173913043478262,2.4782608695652173,1.0434782608695652,0.9759965009980692,1.1263989983825946,1.4418915990459231,0.928256472668725,2.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0 , 3
177,Atalanta-Napoli,1.0,2.0,0.0,1.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,5.0,2.3043478260869565,1.3478260869565215,2.0869565217391304,1.173913043478261,1.6358145763084644,1.1524162620801215,1.755848499321388,1.1541298931561732,0.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,4 , 2
178,Benevento-Roma,0.0,1.0,0.0,1.0,1.0,15.0,0.0,2.0,2.0,0.0,2.0,4.0,1.0869565217391304,1.826086956521739,2.0434782608695654,1.5217391304347827,0.8481554037632527,1.6692996330264185,1.6090160988393216,1.343995576879603,1.0,2.0,0.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,1.0,2.0,0.0,0 , 0
179,Juventus-Crotone,0.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,2.0,0.8695652173913043,1.0,2.391304347826087,1.243163121016122,0.7570485649179113,1.1677484162422844,1.4996705830639974,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,2.0,3 , 0
180,Spezia-Parma,0.0,0.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,19.0,1.3333333333333333,1.7916666666666667,0.7916666666666666,1.9583333333333333,0.9630868246861536,1.350657381543832,0.883627241233132,1.1601786469133204,3.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2 , 2
181,Bologna-Lazio,0.0,0.0,2.0,1.0,1.0,12.0,2.0,2.0,2.0,0.0,2.0,6.0,1.3333333333333333,1.5416666666666667,1.5833333333333333,1.3333333333333333,1.1293194051465598,1.2503622663458174,0.928611242975073,1.2394482175782782,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,2 , 0
182,Verona-Juventus,2.0,0.0,0.0,2.0,1.0,9.0,2.0,2.0,2.0,0.0,2.0,3.0,1.2916666666666667,1.125,1.9583333333333333,0.875,0.954584665735822,0.7974142996067924,1.2328534123049195,0.7408866603457379,3.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1 , 1
183,Sampdoria-Atalanta,2.0,0.0,1.0,2.0,0.0,10.0,2.0,0.0,1.0,2.0,2.0,5.0,1.375,1.5,2.2916666666666665,1.2916666666666667,1.0134958870382644,0.8340576562282991,1.6010639578422372,1.1601786469133204,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0,3.0,3.0,0.0,2.0,0 , 2
184,Crotone-Cagliari,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,18.0,0.9583333333333334,2.375,1.0833333333333333,1.7083333333333333,1.1601786469133204,1.4688800821211287,1.1000658741803746,1.2328534123049195,1.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0 , 2
185,Udinese-Fiorentina,1.0,2.0,2.0,0.0,1.0,13.0,2.0,1.0,0.0,0.0,2.0,14.0,1.0833333333333333,1.375,1.0416666666666667,1.5,1.0179547554081032,1.1349200316590018,1.0826363421183325,1.4142135623730951,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1 , 0
186,Inter-Genoa,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,11.0,2.5,1.0,1.0833333333333333,1.5,1.4142135623730951,0.9325048082403138,1.0598058340078629,1.3831281496162493,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3 , 0
187,Napoli-Benevento,0.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,15.0,2.083333333333333,1.125,1.0416666666666667,1.8333333333333333,1.7173454405910422,1.1539158284426272,0.8586727202955211,1.632993161855452,1.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,2 , 0
188,Roma-Milan,2.0,2.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.5416666666666667,1.9583333333333333,1.2083333333333333,1.587998466760841,1.3180739131701644,0.954584665735822,1.1025333147551266,4.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,1 , 2
189,Torino-Sassuolo,1.0,1.0,1.0,1.0,2.0,17.0,0.0,1.0,0.0,2.0,1.0,8.0,1.5,1.7916666666666667,1.625,1.5416666666666667,1.06321906614239,1.350657381543832,1.2091139407595672,1.2846642825425558,2.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3 , 2
190,Juventus-Spezia,2.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,14.0,2.0,0.84,1.28,1.84,1.224744871391589,0.7461009761866464,0.9797958971132712,1.34412301024373,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,3 , 0
191,Sassuolo-Napoli,1.0,0.0,2.0,1.0,0.0,9.0,2.0,0.0,2.0,0.0,2.0,6.0,1.68,1.6,2.12,1.2,1.2151817422372124,1.2909944487358056,1.6911534525287764,1.1902380714238083,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,3 , 3
192,Cagliari-Bologna,1.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,1.0,1.0,2.0,11.0,1.08,1.64,1.28,1.52,1.0770329614269007,1.2543258481484518,1.1372481406154653,1.2288205727444508,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1 , 0
193,Atalanta-Crotone,0.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,2.4,1.28,0.96,2.48,1.6583123951777,1.1372481406154653,1.1357816691600546,1.5307950004273378,1.0,3.0,1.0,4.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,3.0,2.0,5 , 1
194,Fiorentina-Roma,1.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,2.0,1.0,0.0,5.0,1.04,1.52,2.0,1.52,1.0598742063723097,1.3880441875771343,1.5545631755148024,1.2948616399703354,1.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1 , 2
195,Genoa-Sampdoria,2.0,2.0,1.0,1.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,10.0,1.08,1.48,1.36,1.48,1.0376254944182253,1.357694123627753,0.99498743710662,0.8225975119502044,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1 , 1
196,Milan-Udinese,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,12.0,1.92,1.2,1.08,1.36,0.9539392014169455,1.0801234497346437,0.9966610925150702,1.1135528725660042,2.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1 , 1
197,Benevento-Verona,0.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,2.0,1.0,1.0,8.0,1.0,1.88,1.36,1.08,0.8660254037844386,1.6155494421403511,0.99498743710662,0.8124038404635959,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0 , 3
198,Parma-Inter,0.0,0.0,0.0,1.0,1.0,19.0,2.0,2.0,2.0,2.0,2.0,1.0,0.8,1.96,2.48,1.0,0.8660254037844386,1.1357816691600546,1.3880441875771343,0.9128709291752768,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1 , 2
199,Lazio-Torino,2.0,2.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,2.0,2.0,17.0,1.52,1.28,1.44,1.72,0.9626352718795768,1.2423096769056148,1.083205120618128,1.3699148392023013,3.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0 , 0
