Squadra,Gf,Gs,Punti,V,N,P,Diff,Posizione
Inter,4.0,0.0,3.0,1.0,0.0,0.0,4.0,1
Lazio,3.0,0.0,3.0,1.0,0.0,0.0,3.0,2
Napoli,4.0,3.0,3.0,1.0,0.0,0.0,1.0,3
Atalanta,3.0,2.0,3.0,1.0,0.0,0.0,1.0,4
Torino,2.0,1.0,3.0,1.0,0.0,0.0,1.0,5
Brescia,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6
Juventus,1.0,0.0,3.0,1.0,0.0,0.0,1.0,7
Udinese,1.0,0.0,3.0,1.0,0.0,0.0,1.0,8
Genoa,3.0,3.0,1.0,0.0,1.0,0.0,0.0,9
Roma,3.0,3.0,1.0,0.0,1.0,0.0,0.0,10
Bologna,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11
Verona,1.0,1.0,1.0,0.0,1.0,0.0,0.0,12
Fiorentina,3.0,4.0,0.0,0.0,0.0,1.0,-1.0,13
Spal,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,14
Sassuolo,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,15
Cagliari,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,16
Milan,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,17
Parma,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,18
Sampdoria,0.0,3.0,0.0,0.0,0.0,1.0,-3.0,19
Lecce,0.0,4.0,0.0,0.0,0.0,1.0,-4.0,20
