Partita,O,U
Genoa-Juventus,0.432784958105638,0.5672150418943731
Lecce-Frosinone,0.4381916318659321,0.5618083681340746
Napoli-Cagliari,0.5112651389873446,0.4887348610126648
Torino-Empoli,0.5587483199282042,0.4412516800717831
Milan-Monza,0.3696865547437631,0.6303134452562371
Fiorentina-Verona,0.547598672964357,0.4524013270356483
Udinese-Sassuolo,0.6071799155226075,0.3928200844774002
Bologna-Roma,0.3930110380281278,0.606988961971867
Lazio-Inter,0.4479414340986256,0.5520585659013749
Atalanta-Salernitana,0.5793814635882755,0.4206185364117241
