,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Juventus-Spal,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0,1.8,1.0,1.0,2.2,1.483239697419132,1.224744871391589,1.0,1.095445115010332,1.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2 , 0
1,Sampdoria-Inter,0.0,0.0,0.0,2.0,0.0,20.0,2.0,2.0,2.0,2.0,2.0,1.0,0.6,2.2,2.0,0.2,0.5477225575051662,1.483239697419133,1.224744871391589,0.447213595499958,0.0,1.0,0.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1 , 3
2,Sassuolo-Atalanta,0.0,2.0,0.0,2.0,0.0,10.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,1.6,2.2,1.6,1.58113883008419,1.51657508881031,0.4472135954999579,1.140175425099138,1.0,4.0,2.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1 , 4
3,Napoli-Brescia,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,11.0,2.6,1.8,1.2,1.4,1.673320053068151,1.643167672515498,1.095445115010332,1.673320053068151,4.0,3.0,2.0,4.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,2 , 1
4,Lazio-Genoa,2.0,1.0,0.0,2.0,0.0,9.0,1.0,2.0,0.0,0.0,1.0,17.0,1.4,0.8,1.4,1.8,1.140175425099138,0.8366600265340756,1.140175425099138,1.30384048104053,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,4 , 0
5,Lecce-Roma,0.0,0.0,2.0,0.0,2.0,14.0,1.0,1.0,2.0,2.0,0.0,7.0,1.2,2.2,2.0,1.8,1.30384048104053,1.643167672515498,1.58113883008419,0.8366600265340756,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,0 , 1
6,Udinese-Bologna,2.0,0.0,0.0,0.0,1.0,18.0,1.0,2.0,2.0,0.0,1.0,8.0,0.4,1.0,1.4,1.2,0.5477225575051662,1.224744871391589,1.51657508881031,1.30384048104053,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1 , 0
7,Cagliari-Verona,0.0,0.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,16.0,1.6,1.0,0.6,0.8,1.341640786499874,0.7071067811865476,0.5477225575051662,0.8366600265340756,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1 , 1
8,Milan-Fiorentina,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,15.0,0.6,1.0,1.6,1.8,0.5477225575051662,1.0,1.140175425099138,1.483239697419133,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1 , 3
9,Parma-Torino,0.0,2.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,2.0,6.0,1.0,1.4,1.6,1.4,1.224744871391589,1.140175425099138,1.140175425099138,0.5477225575051661,0.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3 , 2
10,Spal-Parma,0.0,2.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,2.0,2.0,9.0,0.8333333333333334,2.166666666666667,1.333333333333333,1.5,0.983192080250175,0.983192080250175,1.366260102127946,1.048808848170152,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,1 , 0
11,Verona-Sampdoria,2.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,2.0,0.0,0.0,20.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,2.333333333333333,0.5163977794943223,0.752772652709081,0.5163977794943223,1.366260102127946,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,2 , 0
12,Genoa-Milan,2.0,0.0,0.0,1.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,16.0,1.166666666666667,2.166666666666667,0.6666666666666666,1.333333333333333,1.169045194450012,1.471960144387974,0.5163977794943223,1.211060141638997,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1 , 2
13,Fiorentina-Udinese,0.0,1.0,1.0,2.0,2.0,10.0,0.0,0.0,0.0,1.0,2.0,12.0,1.833333333333333,1.666666666666667,0.5,0.8333333333333334,1.169045194450012,1.366260102127946,0.5477225575051661,1.169045194450012,1.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1 , 0
14,Atalanta-Lecce,0.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,17.0,2.5,1.5,1.0,2.0,0.8366600265340756,1.048808848170152,1.264911064067352,1.549193338482967,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0,3 , 1
15,Bologna-Lazio,2.0,2.0,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,2.0,6.0,1.166666666666667,1.166666666666667,1.833333333333333,0.6666666666666666,1.471960144387974,1.169045194450012,1.471960144387975,0.816496580927726,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2 , 2
16,Roma-Cagliari,1.0,2.0,2.0,0.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,7.0,1.833333333333333,1.5,1.5,1.0,1.471960144387975,1.048808848170152,1.224744871391589,0.6324555320336759,1.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1 , 1
17,Torino-Napoli,2.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,2.0,0.0,2.0,4.0,1.666666666666667,1.666666666666667,2.5,1.666666666666667,1.032795558988644,0.816496580927726,1.51657508881031,1.505545305418162,3.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0 , 0
18,Inter-Juventus,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.166666666666667,0.3333333333333333,1.833333333333333,0.8333333333333334,1.169045194450012,0.5163977794943223,1.329160135825126,1.169045194450012,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1 , 2
19,Brescia-Sassuolo,0.0,0.0,2.0,0.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,13.0,1.166666666666667,1.5,1.833333333333333,2.0,0.983192080250175,1.51657508881031,1.471960144387975,1.673320053068151,0.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0,0 , 2
20,Lazio-Atalanta,0.0,2.0,0.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,3.0,1.857142857142857,0.8571428571428571,2.571428571428572,1.428571428571429,1.345185418269099,0.8997354108424372,0.7867957924694432,0.9759000729485331,1.0,2.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,3 , 3
21,Napoli-Verona,2.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,11.0,2.142857142857143,1.428571428571429,0.8571428571428571,0.7142857142857143,1.676163419695052,1.511857892036909,0.6900655593423541,0.7559289460184544,2.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2 , 0
22,Juventus-Bologna,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,12.0,1.857142857142857,0.8571428571428571,1.285714285714286,1.285714285714286,1.214985792587912,1.069044967649697,1.380131118684709,1.112697280528374,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,2 , 1
23,Sassuolo-Inter,0.0,2.0,0.0,0.0,2.0,10.0,2.0,2.0,2.0,2.0,0.0,2.0,1.857142857142857,1.714285714285714,2.0,0.5714285714285714,1.345185418269099,1.704336206492693,1.154700538379251,0.7867957924694432,2.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3 , 4
24,Cagliari-Spal,2.0,2.0,2.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,17.0,1.428571428571429,1.0,0.8571428571428571,1.857142857142857,1.133893419027682,0.5773502691896257,0.8997354108424372,1.214985792587912,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,2 , 0
25,Sampdoria-Roma,0.0,2.0,0.0,0.0,0.0,20.0,2.0,2.0,0.0,2.0,1.0,5.0,0.5714285714285714,2.285714285714286,1.714285714285714,1.428571428571429,0.5345224838248488,1.253566341056017,1.380131118684708,0.9759000729485332,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0 , 0
26,Udinese-Torino,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,2.0,0.0,1.0,9.0,0.4285714285714285,0.8571428571428571,1.428571428571429,1.428571428571429,0.5345224838248487,1.069044967649697,1.133893419027682,0.9759000729485331,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,1 , 0
27,Parma-Genoa,0.0,0.0,2.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,19.0,1.142857142857143,1.428571428571429,1.142857142857143,2.142857142857143,1.345185418269099,0.9759000729485332,1.069044967649697,1.345185418269099,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,2.0,5 , 1
28,Milan-Lecce,2.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,2.0,0.0,0.0,18.0,0.8571428571428571,1.285714285714286,1.0,2.142857142857143,0.6900655593423541,1.112697280528374,1.154700538379251,1.4638501094228,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,2 , 2
29,Brescia-Fiorentina,0.0,2.0,0.0,0.0,0.0,16.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,1.571428571428571,1.714285714285714,1.428571428571429,1.0,1.397276262011544,1.112697280528374,1.397276262011544,3.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0 , 0
30,Verona-Sassuolo,0.0,1.0,1.0,2.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,13.0,0.75,0.875,2.0,2.0,0.7071067811865476,0.8345229603962802,1.309307341415954,1.772810520855837,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,4.0,0.0,4.0,0 , 1
31,Lecce-Juventus,0.0,2.0,0.0,0.0,1.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,1.125,2.125,1.875,0.875,1.125991626459603,1.356202681860537,1.125991626459603,0.9910312089651149,1.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1 , 1
32,Inter-Parma,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,8.0,2.25,0.875,1.625,1.375,1.281739888923311,1.125991626459603,1.846811924835414,0.9161253813129043,2.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,2 , 2
33,Genoa-Brescia,0.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,1.0,16.0,1.125,2.5,0.875,1.375,0.9910312089651149,1.603567451474546,0.9910312089651149,1.407885953173359,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3 , 1
34,Bologna-Sampdoria,0.0,1.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,20.0,1.25,1.375,0.5,2.0,1.281739888923311,1.060660171779821,0.5345224838248488,1.414213562373095,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,2 , 1
35,Atalanta-Udinese,1.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,11.0,2.625,1.625,0.5,0.75,0.7440238091428449,1.060660171779821,0.5345224838248488,1.035098339013531,2.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7 , 1
36,Spal-Napoli,0.0,0.0,0.0,2.0,0.0,18.0,2.0,0.0,2.0,1.0,2.0,4.0,0.75,1.875,2.125,1.25,0.8864052604279183,1.125991626459603,1.552647508520297,1.48804761828569,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1 , 1
37,Torino-Cagliari,0.0,2.0,0.0,1.0,0.0,10.0,2.0,2.0,1.0,1.0,2.0,5.0,1.25,1.375,1.5,0.875,1.164964745021435,0.9161253813129043,1.069044967649698,0.6408699444616557,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1 , 1
38,Roma-Milan,2.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,12.0,1.5,1.25,1.0,1.375,1.414213562373095,1.035098339013531,0.7559289460184544,1.060660171779821,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2 , 1
39,Fiorentina-Lazio,1.0,2.0,2.0,2.0,1.0,9.0,2.0,0.0,2.0,1.0,1.0,7.0,1.5,1.25,2.0,1.125,1.195228609334394,1.388730149658827,1.309307341415954,1.125991626459603,2.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,1 , 2
40,Parma-Verona,2.0,2.0,0.0,2.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,15.0,1.666666666666667,1.444444444444444,0.6666666666666666,0.8888888888888888,1.732050807568877,0.881917103688197,0.7071067811865476,0.7817359599705717,1.0,3.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0 , 1
41,Brescia-Inter,0.0,0.0,0.0,1.0,0.0,18.0,2.0,2.0,0.0,2.0,1.0,2.0,0.8888888888888888,1.555555555555556,2.222222222222222,1.0,0.927960727138337,1.424000624219589,1.201850425154663,1.118033988749895,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,2.0,3.0,2.0,1 , 2
42,Napoli-Atalanta,0.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.222222222222222,3.111111111111111,1.555555555555556,1.5,1.394433377556793,1.615893285805443,1.013793755049703,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,7.0,0.0,1.0,1.0,3.0,1.0,2 , 2
43,Cagliari-Bologna,2.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,1.0,0.0,2.0,11.0,1.444444444444444,0.8888888888888888,1.333333333333333,1.333333333333333,1.013793755049703,0.6009252125773316,1.224744871391589,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,3 , 2
44,Juventus-Genoa,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0,1.777777777777778,0.8888888888888888,1.333333333333333,2.333333333333333,1.092906420717,0.927960727138337,1.118033988749895,1.58113883008419,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0,1.0,2 , 1
45,Lazio-Torino,0.0,2.0,1.0,1.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,12.0,2.0,1.111111111111111,1.222222222222222,1.333333333333333,1.224744871391589,1.05409255338946,1.092906420717,0.8660254037844386,0.0,4.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,4 , 0
46,Sampdoria-Lecce,0.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,0.0,1.0,1.0,16.0,0.5555555555555556,2.0,1.111111111111111,2.0,0.5270462766947299,1.322875655532295,1.05409255338946,1.322875655532295,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1 , 1
47,Sassuolo-Fiorentina,0.0,0.0,2.0,0.0,2.0,9.0,2.0,2.0,2.0,1.0,0.0,10.0,1.888888888888889,1.777777777777778,1.444444444444444,1.333333333333333,1.269295517643985,1.787300882460601,1.130388330520878,1.322875655532295,0.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1 , 2
48,Udinese-Roma,1.0,2.0,0.0,2.0,0.0,14.0,0.0,2.0,1.0,1.0,2.0,5.0,0.5555555555555556,1.444444444444444,1.555555555555556,1.222222222222222,0.5270462766947299,2.297341458681704,1.333333333333333,0.97182531580755,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0 , 4
49,Milan-Spal,0.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,19.0,1.0,1.444444444444444,0.7777777777777778,1.777777777777778,0.7071067811865476,1.013793755049703,0.8333333333333335,1.092906420717,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1 , 0
50,Roma-Napoli,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,6.0,1.8,1.1,2.0,1.3,1.475729574745244,0.9944289260117533,1.414213562373095,1.337493509849259,1.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2 , 1
51,Bologna-Inter,0.0,1.0,0.0,2.0,0.0,12.0,2.0,0.0,2.0,1.0,2.0,2.0,1.4,1.5,2.2,1.0,1.173787790777267,1.080123449734643,1.135292424395093,1.05409255338946,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1 , 2
52,Torino-Juventus,0.0,1.0,0.0,1.0,0.0,14.0,2.0,2.0,2.0,1.0,2.0,1.0,1.1,1.6,1.8,0.9,1.100504934614612,1.173787790777267,1.032795558988645,0.8755950357709131,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0 , 1
53,Atalanta-Cagliari,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,7.0,3.0,1.6,1.6,1.0,1.563471919941143,0.9660917830792959,1.07496769977314,0.6666666666666666,4.0,3.0,3.0,7.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0 , 2
54,Genoa-Udinese,0.0,0.0,0.0,2.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,15.0,1.3,2.3,0.5,1.7,1.05934990547138,1.494434118097326,0.5270462766947299,2.311805451253294,0.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,4.0,1 , 3
55,Verona-Brescia,1.0,2.0,0.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,18.0,0.7,0.8,0.9,1.6,0.674948557710553,0.7888106377466155,0.8755950357709131,1.349897115421106,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2 , 1
56,Lecce-Sassuolo,0.0,0.0,1.0,1.0,1.0,16.0,0.0,2.0,0.0,2.0,0.0,11.0,1.1,1.9,1.8,1.8,0.9944289260117533,1.286683937707919,1.229272594305718,1.686548085423136,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,2 , 2
57,Fiorentina-Parma,2.0,2.0,1.0,0.0,2.0,8.0,2.0,0.0,2.0,1.0,0.0,9.0,1.5,1.3,1.5,1.4,1.080123449734643,1.251665557034572,1.715938356831167,0.8432740427115679,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1 , 1
58,Milan-Lazio,0.0,2.0,1.0,0.0,2.0,10.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,1.3,2.2,1.0,0.6666666666666666,1.05934990547138,1.316561177208767,1.05409255338946,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,0.0,1 , 2
59,Spal-Sampdoria,0.0,2.0,0.0,1.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,20.0,0.7,1.7,0.6,1.9,0.8232726023485646,1.05934990547138,0.5163977794943223,1.286683937707919,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0 , 1
60,Sassuolo-Bologna,2.0,0.0,2.0,0.0,1.0,11.0,1.0,0.0,2.0,0.0,0.0,14.0,1.818181818181818,1.818181818181818,1.363636363636364,1.545454545454545,1.167748416242284,1.60113596038449,1.12006493318265,1.035725481354626,2.0,3.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3 , 1
61,Brescia-Torino,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,15.0,0.9090909090909091,1.636363636363636,1.0,1.545454545454545,0.8312094145936334,1.286291356787199,1.095445115010332,1.128152149635532,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0 , 4
62,Inter-Verona,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,2.181818181818182,1.0,0.8181818181818182,0.8181818181818182,1.078719779941187,1.0,0.7507571935295483,0.7507571935295483,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2 , 1
63,Napoli-Genoa,1.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,17.0,1.909090909090909,1.363636363636364,1.272727272727273,2.363636363636364,1.375103301904657,1.2862913567872,1.009049958219026,1.433368568981982,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,0 , 0
64,Cagliari-Fiorentina,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,0.0,2.0,1.0,8.0,1.636363636363636,0.9090909090909091,1.454545454545455,1.272727272727273,1.026910636104941,0.7006490497453707,1.035725481354626,1.190874392277296,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5 , 2
65,Lazio-Lecce,1.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,16.0,2.181818181818182,1.0,1.181818181818182,1.909090909090909,1.250454462839956,1.0,0.9816498172140428,1.221027882936786,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4 , 2
66,Sampdoria-Atalanta,0.0,1.0,0.0,1.0,2.0,18.0,2.0,1.0,2.0,1.0,0.0,5.0,0.6363636363636364,1.727272727272727,2.727272727272727,1.636363636363636,0.504524979109513,1.348399724926484,1.737291517904183,0.9244162777371754,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,0 , 0
