Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.2857142857142856,1.6035674514745462,1.5714285714285714,0.9759000729485332
Atalanta,2.5714285714285716,1.7182493859684491,2.0,1.1547005383792515
Genoa,1.0,1.4142135623730951,2.142857142857143,1.9518001458970664
Juventus,2.0,1.1547005383792515,1.0,0.5773502691896257
Verona,1.4285714285714286,1.2724180205607036,0.7142857142857143,0.7559289460184545
Milan,2.2857142857142856,0.48795003647426655,1.0,1.1547005383792515
Napoli,2.2857142857142856,2.0586634591635513,0.8571428571428571,0.8997354108424372
Spezia,1.5714285714285714,0.9759000729485331,2.142857142857143,1.6761634196950517
Fiorentina,1.4285714285714286,1.2724180205607034,1.7142857142857142,1.380131118684708
Cagliari,2.0,1.2909944487358056,2.142857142857143,1.5735915849388864
Sassuolo,2.5714285714285716,1.618347187425374,1.2857142857142858,1.2535663410560174
Torino,1.7142857142857142,1.2535663410560174,2.2857142857142856,1.6035674514745464
Bologna,1.5714285714285714,1.7182493859684491,1.8571428571428572,1.0690449676496976
Parma,1.1428571428571428,0.8997354108424372,1.8571428571428572,1.4638501094227998
Udinese,0.8571428571428571,1.2149857925879117,1.5714285714285714,0.9759000729485332
Benevento,1.4285714285714286,0.9759000729485331,2.857142857142857,1.7728105208558365
Crotone,0.8571428571428571,0.6900655593423541,2.4285714285714284,1.618347187425374
Lazio,1.5714285714285714,1.2724180205607036,1.8571428571428572,1.4638501094227998
Roma,2.2857142857142856,1.6035674514745462,1.5714285714285714,1.2724180205607036
Sampdoria,1.5714285714285714,1.2724180205607034,1.5714285714285714,1.1338934190276817
